record,ticker,buy_date,buy_price,qty,commissions,sell_date,sell_price,sell_commissions,source,currency,asset_type,notes
cerrada,GLDD.BA,2026-01-21,9.26,10.0,0.5596,2026-08-31,8.5,0.51,,,,
cerrada,GOGLD.BA,2025-11-17,5.09,92.0,2.8377,2025-12-30,5.55,3.08,,,,
cerrada,GOGLD.BA,2025-11-17,5.09,879.0,27.1123,2026-01-16,6.0,31.91,,,,
cerrada,IVED.BA,2026-01-20,5.55,136.0,4.5666,2026-02-04,5.53,4.6328,,,,
cerrada,IVED.BA,2026-01-20,5.55,213.0,7.1522,2026-02-04,5.64,7.2733,,,,
cerrada,IVED.BA,2026-01-20,5.55,73.0,2.4512,2026-02-05,5.593515,2.4709,,,,
cerrada,METAD.BA,2024-03-21,22.52,22.0,0.0,2025-01-27,27.4,0.0,,,,
cerrada,METAD.BA,2025-02-13,30.3,32.0,0.0,2025-08-21,30.85,6.21,,,,
cerrada,METAD.BA,2025-02-13,30.3,27.0,0.0,2025-08-22,30.95,5.25,,,,
cerrada,METAD.BA,2026-04-10,27.343146,15.0,2.4814,2026-04-10,27.52,2.5,,,,
cerrada,NKED.BA,2026-04-21,4.05,244.0,5.97,2026-07-31,3.61,5.32,,,,
cerrada,NVDAD.BA,2024-07-18,5.28,150.0,0.0,2025-01-22,6.2,0.0,,,,
cerrada,NVDAD.BA,2024-07-18,5.3,300.0,0.0,2025-01-22,6.2,0.0,,,,
cerrada,NVDAD.BA,2025-01-27,5.03,90.0,0.0,2025-01-29,5.45,0.0,,,,
cerrada,NVDAD.BA,2025-01-27,5.03,27.0,0.0,2025-02-05,5.2,0.0,,,,
cerrada,NVDAD.BA,2025-01-27,5.1,669.0,0.0,2025-02-05,5.2,0.0,,,,
cerrada,NVDAD.BA,2025-02-25,5.38,415.0,0.0,2025-07-15,7.13,13.315,,,,
cerrada,NVDAD.BA,2025-02-25,5.37,12.0,0.0,2025-07-15,7.13,0.385,,,,
cerrada,SLVD.BA,2026-01-21,14.6,31.0,2.73,2026-08-13,10.065,1.8885,,,,
cerrada,SLVD.BA,2026-02-04,13.44395,56.0,4.5341,2026-08-13,10.065,3.4115,,,,
cerrada,TSMD.BA,2026-01-20,38.3,3.0,0.6947,2026-02-03,39.16,0.7108,,,,
cerrada,TSMD.BA,2026-01-20,38.3,3.0,0.6947,2026-03-06,39.61,0.71,,,,
cerrada,TSMD.BA,2026-01-20,38.3,45.0,10.4206,2026-03-25,39.79,10.8293,,,,
